completion_year	title	road_class_or_number	status	realization_from	realization_to	lat	lon	cost_ex_vat	total_cost	source_dataset	source_url
2024	Rekonstrukce silnice II/310 Letohrad - Žamberk, Lukavice - průtah	II/310	Dokončeno	09/2023	10/2024	50.073837	16.473515	63 555 783 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Rekonstrukce silnice II/322H Kojice – průtah	Silnice III. třídy	Dokončeno	08/2025	12/2025	50.04177	15.390567	16 798 400 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Rekonstrukce silnice II/343 Hlinsko II. etapa	II/343	Dokončeno	05/2024	06/2025	49.763214	15.907555	45 499 040 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Rekonstrukce silnice II/343 Hlinsko III. etapa	II/343	Dokončeno	08/2025	12/2025	50.0	14.7	19 667 670 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce silnice II/359 Budislav	II/359	Dokončeno	06/2023	10/2023	49.80066	16.175283	10 297 516 Kč	16 266 190 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce silnice II/359 Dolní Újezd I. etapa	II/359	Dokončeno	06/2022	05/2023	49.820286	16.249844	21 780 908 Kč	28 932 236 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Rekonstrukce silnice II/359 Dolní Újezd II. etapa	II/359	Dokončeno	04/2024	07/2024	49.82278	16.250238	20 575 874 Kč	29 712 116 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Rekonstrukce silnice III/298 10 Dražkov	Silnice III. třídy	Dokončeno	6/2025	7/2025	50.09151	15.83529	11 550 099 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Rekonstrukce silnice III/3057 ul.Husova, Holice II. etapa	Silnice III. třídy	Dokončeno	09/2024	06/2025	50.071514	15.98664	11 959 595 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce silnice III/31218 Klášterec nad Orlicí I. etapa	Silnice III. třídy	Dokončeno	05/2023	09/2023	50.110977	16.555927	29 257 130 Kč	36 670 635 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Rekonstrukce silnice III/31512 Česká Třebová–průtah I.etapa	Silnice III. třídy	Dokončeno	01.10.2019	14.05.2021	50.0	14.7		53 585 699	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce silnice III/31911 Žamberk – průtah I. etapa	Silnice III. třídy	Dokončeno	07/2023	10/2023	50.088	16.46729	6 671 371 Kč	10 613 118 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Rekonstrukce silnice III/32212 Poběžovice u Přelouče	Silnice III. třídy	Dokončeno	23.08.2021	30.11.2021	50.0	14.7		20 718 229 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Rekonstrukce silnice III/322 25 Černá u Bohdanče III. etapa	Silnice III. třídy	Dokončeno	03/2025	06/2025	50.05587	15.672828	5 885 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Rekonstrukce silnice III/337 44, III/337 81, Načešice	Silnice III. třídy	Dokončeno	5. 5. 2025	11/2025	49.940388	15.627284	26 964 547 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Rekonstrukce silnice III/343 10 Kameničky – Filipov	Silnice III. třídy	Dokončeno	06/2024	05/2025	49.74354	15.984185	26 351 351 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce silnice III/3437 Miřetice – křiž. III/355 22 Včelákov I.etapa	Silnice III. třídy	Dokončeno	08/2022	07/2023	49.825348	15.877244	42 349 841 Kč	53 069 312 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce silnice III/3437 Miřetice–křiž.III/35522 Včelákov II. a III. etapa	Silnice III. třídy	Dokončeno	04/2023	08/2023	49.825607	15.877081	42 349 841 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce silnice III/3439 Kladno	Silnice III. třídy	Dokončeno	05/2023	09/2023	49.772865	15.981975	20 027 066 Kč	27 770 191 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Rekonstrukce silnice III/3561 Radim–průtah	Silnice III. třídy	Dokončeno	31.05.2021	31.08.2021	50.0	14.7		16 936 110 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Rekonstrukce silnice III/35724 Borová – Oldříš II., III. a IV. etapa	Silnice III. třídy	Dokončeno	03/2022	06/2024	49.731316	16.17151	127 165 833 Kč	190 493 828	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Rekonstrukce silnice III/35826 Chacholice–Vrbatův Kostelec, SO 103 Vrbatův Kostelec	Silnice III. třídy	Dokončeno	23.08.2021	30.11.2021	50.0	14.7		16 354 468 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Rekonstrukce silnice III/36012 Česká Třebová ul. Kubelkova II. etapa	Silnice III. třídy	Dokončeno	1. 4. 2025	08/2025	49.90661	16.436989	19 960 439 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce silnice III/360 21 Čistá I. etapa	Silnice III. třídy	Dokončeno	09/2022	06/2023	49.824574	16.333872	34 584 039 Kč	46 499 561 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Rekonstrukce silnice III/3661 křiž.I/34 – Vendolí II. etapa	Silnice III. třídy	Dokončeno	06/2022	04/2023	49.74024	16.418222	21 175 773 Kč	29 137 958 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Rekonstrukce silnice III/3661 Vendolí – křiž.I/34 - I.etapa	Silnice III. třídy	Dokončeno	09/2021	04/2022	49.734707	16.398764	17 939 454 kč	25 461 393 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Rekonstrukce silnice III/36625 Vendolí	Silnice III. třídy	Dokončeno	8. 7. 2024	15. 10. 2024	49.73133	16.435574	13 730 462 Kč	23 261 647 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Rekonstrukce silnice III/36823 Kunčina	Silnice III. třídy	Dokončeno	29.06.2020	15.12.2021	50.0	14.7		71 912 255	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Sanace silnice II/358 Slatiňany	II/358	Dokončeno	2023	2023	49.922283	15.807103	490 082 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Silnice, chodníky a most ev.č. 35826-2 Vrbatův Kostelec	Silnice III. třídy	Dokončeno	06/2024	06/2025	49.858055	15.94068	13 557 464 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Silnice II/306 Dřeveš - Prosetín	II/306	Dokončeno	9/2025	10/2025	50.0	14.7	5 839 731		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Silnice II/327 Hr. PK - Hradišťko II	II/327	Dokončeno	09/2025	11/2025	50.101543	15.406437	11 888 400 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice II/337 Skutíčko	II/337	Dokončeno	10.07.2021	15.08.2021	50.0	14.7	5795218		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice II/337 Vrbatův Kosterlec (dofinancování)	II/337	Dokončeno	20.09.2020	10.04.2021	50.0	14.7	1091726		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice II/340 Kostěnice	II/340	Dokončeno	08/2024	10/2024	50.0131	15.8909	5 851 491 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice II/356 Radim a Luže	II/356	Dokončeno	07/2024	10/2024	49.891586	16.031744	6 323 779 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Silnice II/360 Ústí nad Orlicí, ul. Letohradská - žel. přejezd	II/360	Dokončeno	5. 5. 2025	11/2025	49.978687	16.404766	35 592 427 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice II/366 ul. Pražská, Svitavy	II/366	Dokončeno	15. 11. 2024	12/2024	49.76189	16.456705	7 263 945 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Silnice III/30532 Hluboká – křiž. II/358 Perálec	Silnice III. třídy	Dokončeno	23. 10. 2025	12/2025	49.83469	16.066698	15 440 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Silnice III/305 3 Chvojenec	Silnice III. třídy	Dokončeno	08/2023	10/2023	50.110966	15.946175	9 028 568 Kč	12 059 627 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/3055 Holice – Borohrádek	Silnice III. třídy	Dokončeno	14. 10. 2024	16. 12. 2024	50.098537	16.05827			apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/3055 hr. PK – křiž. s III/3183	Silnice III. třídy	Dokončeno	14. 10. 2024	6. 12. 2024	50.104202	16.00913	12 427 200 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Silnice III/3055 Vysoké Chvojno - křiž. III/3183 hájovna	Silnice III. třídy	Dokončeno	11. 8. 2025	10/2025	50.0	14.7	18 890 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Silnice III/3061, III/355 24 Raná	Silnice III. třídy	Dokončeno	03/2022	06/2022	49.797863	15.963265	12 755 841 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Silnice III/3061, III/355 26 Vojtěchov	Silnice III. třídy	Dokončeno	04/2022	06/2022	49.786953	15.976207	14 665 318 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice III/3061 Mrákotín	Silnice III. třídy	Dokončeno	14. 9. 2021	27. 10. 2021	49.814598	15.9564705	6 201 334 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Silnice III/3061 Vrbatův Kostelec - Cejřov	Silnice III. třídy	Dokončeno	2023	2023	49.84822	15.944608	13 388 429 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice III/3062 Ždárec u Skutče	Silnice III. třídy	Dokončeno	8. 11. 2021	30. 11. 2021	49.82651	15.991176	545 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Silnice III/31110 Jamné nad Orlicí, I. etapa	Silnice III. třídy	Dokončeno	07/2023	09/2023	50.04003	16.625877	5 878 108 Kč	7 284 817 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/31110 Jamné nad Orlicí II. etapa	Silnice III. třídy	Dokončeno	09/2024	10/2024	50.040073	16.634756	5 748 976 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice III/311 17 Horní Třešňovec	Silnice III. třídy	Dokončeno	13. 9. 2021	30. 10. 2021	49.939484	16.601955		15 049 494 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/31227 Dolní Morava I. etapa	Silnice III. třídy	Dokončeno	09/2024	11/2024	50.116	16.797049	7 959 672 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Silnice III/31277 Dolní Morava + objízdné trasy, etapa II.	III/31227	Dokončeno	09/2025	11/2025	50.127106	16.799212	10 660 091 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice III/322 46 Kostěnice	Silnice III. třídy	Dokončeno	2. 9. 2021	30. 10. 2021	50.012184	15.905242	7 160 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/3225 Chvaletice - křiž. I/2	Silnice III. třídy	Dokončeno	09/2024	11/2024	50.03341	15.418136	11 884 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/322 60 Čeradice - křiž. s III/322 63	Silnice III. třídy	Dokončeno	2024	2024	49.99824	15.981863	11 157 024 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/3236 Pravy	Silnice III. třídy	Dokončeno	10/2024	11/2024	50.13018	15.625704	5 397 650 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Silnice III/32722 Břehy - Sopřeč	Silnice III. třídy	Dokončeno	1. 4. 2025	9. 7. 2025	50.064686	15.552555	45 494 301 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice III/337 33 Ronov nad Doubravou, Kněžice	Silnice III. třídy	Dokončeno	09.09.2021	30.09.2021	49.875343	15.529758	1 885 750 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Silnice III/338 10, III/338 11, III/338 12 Jankovice, Kozašice	Silnice III. třídy	Dokončeno	04/2022	10/2022	50.010757	15.525312	17 219 633 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Silnice III/338 10 Podhořany – hr.Pk	Silnice III. třídy	Dokončeno	04/2022	10/2022	49.93623	15.531981		32 262 341 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice III/340 44 Kostěnice	Silnice III. třídy	Dokončeno	02.09.2021	30.11.2021	50.01196	15.902744	7 200 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice III/3432 Trhová Kamenice	Silnice III. třídy	Dokončeno	29.09.2021	30.10.2021	49.787483	15.821334	3 025 000 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/3437 Miřetice - křiž. III/35522 Včelákov II. etapa	Silnice III. třídy	Dokončeno	05/2024	09/2024	49.83571	15.87872	12 833 182 Kč	17 576 691 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice III/344 17 Trhová Kamenice	Silnice III. třídy	Dokončeno	24.05.2021	21.06.2021	49.782856	15.811603	4 157 051 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/35410 Martinice	Silnice III. třídy	Dokončeno	04/2024	07/2024	49.77968	16.103674	5 875 478 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	Silnice III/3545 Záboří – křiž. III/354 10 Martinice	Silnice III. třídy	Dokončeno	09.09.2021	29.09.2021	49.790134	16.100292	6 620 200 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Silnice III/35720 Doubravice	Silnice III. třídy	Dokončeno	08/2023	12/2023	49.875526	16.097588	5 900 261 Kč	7 273 054 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Silnice III/35817, III/35814 Lukavice	Silnice III. třídy	Dokončeno	10/2025	12/2025	50.0	14.7	8 968 735 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2022	Silnice III/36021, III/36020 a III/360 23 Trstěnice, I.etapa	Silnice III. třídy	Dokončeno	09/2021	04/2022	49.79736	16.34472	13 008 233 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/36612 Bělá u Jevíčka	Silnice III. třídy	Dokončeno	07/2024	08/2024	49.63632	16.645721	5 889 353 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	Silnice III/36810 Lanškroun, ul. Lidická	Silnice III. třídy	Dokončeno	2. 6. 2025	11/2025	49.908752	16.614824	32 075 507 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/368 11 Trpík, průtah	Silnice III. třídy	Dokončeno	04/2024	07/2024	49.849266	16.570145	21 479 566 Kč	28 616 697 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Silnice III/36825 Moravská Třebová – Rozstání, I. etapa	Silnice III. třídy	Dokončeno	10/2024	12/2024	49.741066	16.709038	9 696 576 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2024	Spytovice - úprava křižovatky silnic III/3228 a III/3228a	Silnice III. třídy	Dokončeno	08/2024	10/2024	50.028168	15.486607	2 644 847 Kč		apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Úprava křiž. II/368 a III/3711 Moravská Třebová	II/368	Dokončeno	24. 4. 2023	31. 8. 2023	49.759834	16.665276	11 015 629 Kč	15 139 947 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	Úprava odvodnění silnice III/29823 Hrachoviště - Borek	Silnice III. třídy	Dokončeno	04/2023	06/2023	50.126736	15.870283	2 786 002 Kč	3 371 062 Kč	apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	I/36 Časy–Holice	I/36	Dokončeno	2022	2023	50.071175	15.943894			apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2025	I/36 Pardubice, Trnová–Fáblovka–Dubina	I/36	Dokončeno	2022	2025	50.051834	15.785108			apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	I/37 Chrudim – obchvat, úsek křiž. I/17–Slatiňany	I/37	Dokončeno	2019	2021	49.92444	15.82694			apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2021	I/37 Pardubice - MÚK Palackého, dostavba	I/37	Dokončeno	2019	2021	50.03512	15.748765			apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
2023	I/43 Hradec nad Svitavou – Lačnov	I/43	Dokončeno	2022	2023	49.729874	16.48656			apdos-pardubice	https://apdos.roadmedia.cz/json/data-pardubice.json
